videoId,title,channelTitle,categoryId,publishedAt,viewCount,likeCount,commentCount,duration
enjkcCdAlXc,"Aavan Jaavan Song | WAR 2 | Hrithik Roshan, Kiara Advani | Pritam, Arijit Singh, Nikhita | Amitabh B",YRF,10,2025-07-31T05:41:16Z,17733455,273415,13674,PT4M
mzr_F0NJMRs,"Tehran | Official Trailer | John Abraham, Manushi Chillar, Neeru Bajwa | Premieres 14th Aug 2025",Zee Studios,1,2025-08-01T07:37:29Z,1251009,56911,2596,PT2M40S
DiHB9uIVqcg,2025 PMWC at EWC Grand Finals D1 | English Co stream !insta,Snax Gaming,20,2025-08-01T15:34:05Z,1112144,67823,50,PT4H40M51S
vB7Y2wcBAZw,Salambala - Lyrical Video | Madharaasi | Sivakarthikeyan | A.R.Murugadoss | Anirudh | Sai Abhyankkar,Junglee Music Tamil,10,2025-07-31T14:45:54Z,3659593,136660,4896,PT3M57S
dY3WKy4Q8-4,"Vash Level 2 - Gujarati Trailer | Janki B, Hitu K, Hiten K, Monal G, | Krishnadev Yagnik | 27th Aug",Big Box Series,24,2025-08-01T05:30:03Z,84210,5735,424,PT1M57S
MaFcWVzti-4,I GOT NEW ITACHI UCHIHA BUNDLE | FREE FIRE x NARUTO CHAPTER 2,Total Gaming,20,2025-07-31T04:00:18Z,2720701,237731,35643,PT17M37S
Fbv6-50S1lc,MF GABHRU (Official Video) KARAN AUJLA | Latest Punjabi Songs 2025,Karan Aujla,10,2025-08-01T04:00:06Z,2863644,227815,14504,PT3M31S
bMgfsdYoEEo,The Conjuring: Last Rites | Official Trailer,Warner Bros.,1,2025-07-31T16:00:56Z,3659729,63642,2255,PT2M26S
edIg8phDpnw,We Got Stuck in BRAINROT CHUNK in Minecraft..,Carry Depie,20,2025-08-01T09:11:26Z,429619,8452,692,PT25M20S
l9zFH9aynd4,Bujhija Re Hrudaya - Full Video l UntalentedGuy & Hiteisha l Prem Darshan l Humane Sagar l Tushar,BABU BHAI PRODUCTION,24,2025-07-31T01:00:45Z,806117,108672,6738,PT15M34S
nb_fFj_0rq8,Avatar: Fire and Ash | Official Trailer,Avatar,24,2025-07-28T15:00:09Z,15874994,458824,26183,PT2M26S
ayl_XMzU-RM,Long Slide Game With Cow Elephant Gorilla Hippopotamus Tiger - 3d Animal Game - Funny 3d Animals,Teodorissimo - FunAnimation,24,2025-08-01T06:55:56Z,414214,31921,882,PT10M53S
N4wK3NtVRT0,"Pardesiya - Param Sundari | Sidharth M, Janhvi K | Sachin-Jigar, Sonu Nigam, Krishnakali, Amitabh B",Universal Music India,10,2025-07-30T06:42:01Z,24943192,144862,13153,PT2M58S
EWo5HfGe1PY,Trailer | Free Fire MAX x NARUTO SHIPPUDEN | Free Fire MAX Official,Free Fire India Official,20,2025-07-30T05:30:10Z,2573756,13604,691,PT22S
62o3IGkcxkk,Long Slide Game With Elephant Gorilla Buffalo Hippopotamus Tiger 3d Animal Game Funny 3d Animals,Firodaliso FunAnimation,24,2025-08-01T06:52:38Z,342224,37500,861,PT11M48S
Pzv_jSCwEz8,#Video | #Khesari Lal Yadav #रक्षाबंधन गीत | बहिनी के प्यार | Raj Nandani | Raksha Bandhan Song 2025,Sur Music ,10,2025-08-01T00:30:18Z,410383,42660,2973,PT4M12S
C4VWQFwe9vw,"लालू जी की LOVE Story | Official Trailer | Yash Kumarr, Nidhi Jha | New Bhojpuri Movie 2025",Yash Kumar Entertainment,10,2025-08-01T01:00:06Z,130610,2434,156,PT3M59S
9vRI0C4WzeM,SERIOUS RANK PUSH TO #1 | CONQUEROR OR WHAT | BGMI LIVE,LoLzZz Gaming,20,2025-07-31T23:54:57Z,628134,36822,66,PT7H26M46S
fs0CcSN_VDw,Dhanda Nyoliwala - No Fluke (Official Music Video),Dhanda Nyoliwala,10,2025-08-01T05:30:07Z,586370,71616,6032,PT3M36S
kqAbnVcJMiQ,"Official Trailer - Shaadi Ek Sauda | Richa Dixit, Anara Gupta, Manukrishna | Bhojpuri Movie 2025",Bhojpuri Cinema TV Channel,24,2025-07-29T01:30:39Z,1229588,4703,54,PT4M7S
mo0phzJTjeU,Franklin become a Powerful BODYBUILDER in Indian bike driving 3d game 🥵 ,JAYANT GAMING STUDIO ,20,2025-07-31T10:14:43Z,299212,1330,14,PT8M34S
NPT0y27VLVo,New Punjabi Songs 2025 - Asle ( Official Video ) Gulab Sidhu | Jang Dhillon | Diamond | Pari Chauhan,Gulab Sidhu Music,10,2025-08-01T04:30:24Z,492948,14390,636,PT3M11S
KWt9dzrc1Go,Athadu Re-Release Official Trailer | Mahesh Babu | Trivikram | Trisha | In Theaters Aug 9 | 4K,Mahesh Babu,24,2025-07-30T12:33:00Z,519611,37089,1687,PT2M25S
4WmGhsnMLfA,UNLUCKY 13?! 😱 Clash-A-Rama 13th Clashiversary Special Episode!,Clash of Clans,20,2025-08-01T08:00:09Z,1132069,53807,3361,PT2M3S
dRBowc83jVs,"Kingdom - Ragile Ragile Lyrical Video | Vijay Deverakonda, Bhagyashrii | Anirudh Ravichander |Gowtam",Aditya Music,10,2025-07-29T04:39:06Z,2633846,105655,2480,PT5M30S
xqdXSA8hNI4,"KINGDOM Official Trailer | Vijay Deverakonda, Satya Dev, Bhagyashrii | Anirudh | Gowtam Tinnanuri",Sithara Entertainments,24,2025-07-26T17:10:08Z,9644979,329892,9832,PT2M38S
vJN6w7wl2AM,"AA Play Survival Surge - Chapter 1 | Ft. ⁨@GodLikeEsportss , RNTX VE | BGMI | Quarter Finals | Day 2",AA Gaming,20,2025-08-01T12:19:46Z,417300,8390,38,PT4H42M40S
pUyOzkzPKfo,#Video | #Aashish Yadav | बहिनी बहिनी पुकारो हियै | #Shilpi Raj | #Raksha Bandhan Song 2025,Swastik Records,10,2025-08-01T00:30:41Z,146830,8263,355,PT5M35S
qa7S4EDX1wE,Mayasabha | Sony LIV | Telugu Trailer | Streaming from 7th Aug,Sony Music South,10,2025-07-31T08:40:17Z,205395,3449,176,PT2M17S
qcewxINeEnY,Australia Champions vs South Africa Champions | SF2 | WCL S2 2025| HLS | English | Edgbaston Stadium,SportsEye,17,2025-07-31T20:46:01Z,692608,9263,399,PT21M38S
MEXa1Xg_U-U,"#Video | Handsome Hero | #Khesari Lal Yadav, Beauty Pandey | हैंडसम हीरो | New Bhojpuri Song 2025",Annapurna Films,10,2025-08-01T03:28:13Z,187793,20632,637,PT3M58S
XLbk0po2Xh8,Family Package Official Trailer 4K|Suprith Kati| Arya Swaroop| Kruthika | Manohara SP #comedyvideos,Baraha studios 😎,24,2025-07-31T12:01:54Z,72643,2441,42,PT2M35S
z7SrQI3Slzk,My Collection vs Yours – Free Fire Drip Battle!🤯 Collection vs Collection😱 #shortsfeed #shortslive,CHACHA GAMING,20,2025-08-01T13:32:54Z,532601,5288,0,PT3H59M27S
KXIqdGSHrWU,😭नया दर्द भरा भावुक #Video Rakhi Kajari geet-राखी कजरी गीत|सुखिया दुखिया दुई रे बहिनिया| #kajiri2025,Madhu Ke Geet,10,2025-07-30T05:10:03Z,323582,1090,108,PT11M37S
HiAOSM_i-AE,Kaantha Official Tamil Teaser | Dulquer Salmaan | Samuthirakani | Bhagyashri Borse | Rana Daggubati,Dulquer Salmaan,1,2025-07-28T11:09:13Z,779552,33724,1003,PT2M13S
AOs6VVrMAas,Openly ready for Collection Battle 🤫 Buying Everything in Free Fire - Tonde Gamer,Tonde Gamer,20,2025-08-01T01:40:02Z,434925,31062,4027,PT8M28S
dKBqFr4XdVA,#Pawan Singh - चार चाका ए जीजा | Shilpi Raj | Char Chaka Ae Jija | Sanjana Mishra | Bolbam Song 2025,Pawan Singh Official,10,2025-08-01T01:00:43Z,514419,78759,8180,PT3M9S
nhp-ZTwiGQk,Tumi Mur Anurag - Part 3 | Official Trailer | Assamese Love Story | 5th August,Mayabini Films,24,2025-07-31T16:18:17Z,23987,2538,105,PT2M30S
WNQW1szAKs0,NEW MISSON on RICH MAN ISLAND in GTA 5 Real Life!😱 #12,Dattrax Gaming,20,2025-08-01T03:00:25Z,371546,28527,1863,PT48M49S
KlcDLPmWeEQ,SAIYAARA | Kishor Kumar | Haye Main Mar Hi jau |Old Goldern Era Viral Song | Gulshan Jhankar Studio ,Gulshan Jhankar Studio ,10,2025-07-31T04:59:38Z,224935,6533,569,PT3M59S
BNRjsBpML_I,Son Of Sardaar 2|Film Ban |Sparks Yogi-Amitabh Clash | Bollywood Realty|Ajay Devgan|Trailer Review,B H Movies,24,2025-07-28T04:15:06Z,161420,2665,302,PT12M52S
IbOFOHbh048,Minecraft Manhunt Speedrunner vs 4 Hunters,SenpaiSpider,20,2025-08-01T07:31:00Z,365630,29078,2580,PT1H6M2S
Qk6PI-oABvs,SAIYAARA | Kishor Kumar || Haye Main Mar Hi jau || Old Goldern Era Viral Song,Qamworld,10,2025-07-29T10:34:16Z,2066780,46044,1817,PT4M18S
EjgqhOGFRQs,சற்றுமுன் இணையத்தில் கசிந்த கூலி ட்ரைலர்.! Coolie Trailer Leaked | Rajinikanth | Lokesh Kanagaraj,SUPERSTAR RAJINIKANTH FANS CREATIONS [SRFC],24,2025-07-31T15:03:17Z,57132,300,21,PT2M59S
D1VYnRDPM_Y,Free Fire x Naruto Chapter 2 – BIGGEST Ninja Collab LIVE,Mani 22,20,2025-08-01T13:48:44Z,442557,9307,,PT4H45M29S
3tWgV4_JJxU,New Adivasi Song | Asli Aadiwasi ( असली आदिवासी ) | Aadiwood | Aadiwasi Diwasi Song  #adivasisong,Aadiwood,10,2025-08-01T01:30:11Z,108311,10368,835,PT4M
BdSgJv7nsTE,Sumathi Valavu | Official Trailer | Arjun Ashokan | Vishnu Sasi Shankar| Abhilash Pillai |Ranjin Raj,Muzik247,24,2025-07-27T13:33:36Z,987301,27670,900,PT2M13S
Vpxn5_Lw-cM,😱 Franklin Change House To Water Park in INDIAN BIKES DRIVING 3D,Gamer Sunil Raj,20,2025-08-01T01:30:25Z,88412,604,6,PT8M30S
BMhhsZBuF0w,Hobe Na Dekha | হবে না দেখা | Dhumketu | Dev | Subhashree | Ishan Mitra | Anupam Roy | Bengali Song,Saregama Bengali,10,2025-08-01T06:30:07Z,259588,20589,1834,PT3M34S
oSfZT5RxEI4,Avatar: Fire and Ash Trailer Review | Yogi Bolta Hai,YOGI BOLTA HAI,24,2025-07-28T16:31:07Z,543231,23455,847,PT3M2S
